City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Fortuna,US,2021-01-26 01:37:54,40.5982,-124.1573,42.01,93,1,3.6
231,Eisiskes,LT,2021-01-26 01:37:54,54.1667,25.0,32.0,100,90,11.5
232,Mantua,IT,2021-01-26 01:36:49,45.1667,10.7833,36.0,75,66,1.01
233,Kloulklubed,PW,2021-01-26 01:36:48,7.0419,134.2556,86.0,70,75,14.97
234,Jequie,BR,2021-01-26 01:37:55,-13.8575,-40.0836,69.22,91,51,3.24
235,Diamantino,BR,2021-01-26 01:37:55,-14.4086,-56.4461,74.95,81,100,3.02
236,Bosanska Krupa,BA,2021-01-26 01:37:55,44.8825,16.1514,31.42,96,100,2.64
237,Deputatskiy,RU,2021-01-26 01:37:55,69.3,139.9,-42.39,83,28,1.77
238,Te Anau,NZ,2021-01-26 01:37:55,-45.4167,167.7167,70.23,58,100,11.41
239,Pala,TD,2021-01-26 01:37:56,9.3642,14.9046,70.88,22,59,6.96
240,Peace River,CA,2021-01-26 01:37:56,56.2501,-117.286,1.4,71,90,9.22
241,Aasiaat,GL,2021-01-26 01:37:56,68.7098,-52.8699,0.18,82,18,5.64
242,Kaitangata,NZ,2021-01-26 01:37:07,-46.2817,169.8464,78.26,41,100,15.84
243,Alice Springs,AU,2021-01-26 01:37:00,-23.7,133.8833,91.4,40,1,4.61
244,Leshukonskoye,RU,2021-01-26 01:37:57,64.8989,45.7622,35.2,97,100,8.48
245,Buluang,PH,2021-01-26 01:37:57,13.3068,123.3425,84.29,60,76,1.59
246,Ponto Novo,BR,2021-01-26 01:37:57,-10.8628,-40.1336,71.31,85,12,8.28
247,Saskylakh,RU,2021-01-26 01:32:30,71.9167,114.0833,-32.04,82,47,4.12
248,Kiunga,PG,2021-01-26 01:33:33,-6.1219,141.2906,86.27,65,87,1.66
249,Faanui,PF,2021-01-26 01:36:09,-16.4833,-151.75,81.21,76,100,18.03
250,Belle Fourche,US,2021-01-26 01:37:57,44.6714,-103.8522,21.0,100,90,6.91
251,Ulychne,UA,2021-01-26 01:37:57,49.2338,23.6511,30.99,86,100,16.04
252,Catamarca,AR,2021-01-26 01:37:58,-28.4696,-65.7852,80.01,55,60,3.0
253,Souillac,MU,2021-01-26 01:37:58,-20.5167,57.5167,71.6,88,20,5.75
